Conference,Division,Abbr,Team
AFC,East,BUF,Buffalo Bills
AFC,East,MIA,Miami Dolphins
AFC,East,NE,New England Patriots
AFC,East,NYJ,New York Jets
AFC,North,BAL,Baltimore Ravens
AFC,North,CIN,Cincinnati Bengals
AFC,North,CLE,Cleveland Browns
AFC,North,PIT,Pittsburgh Steelers
AFC,South,HOU,Houston Texans
AFC,South,IND,Indianapolis Colts
AFC,South,JAX,Jacksonville Jaguars
AFC,South,TEN,Tennessee Titans
AFC,West,DEN,Denver Broncos
AFC,West,KC,Kansas City Chiefs
AFC,West,LV,Las Vegas Raiders
AFC,West,LAC,Los Angeles Chargers
NFC,East,DAL,Dallas Cowboys
NFC,East,NYG,New York Giants
NFC,East,PHI,Philadelphia Eagles
NFC,East,WAS,Washington Commanders
NFC,North,CHI,Chicago Bears
NFC,North,DET,Detroit Lions
NFC,North,GB,Green Bay Packers
NFC,North,MIN,Minnesota Vikings
NFC,South,ATL,Atlanta Falcons
NFC,South,CAR,Carolina Panthers
NFC,South,NO,New Orleans Saints
NFC,South,TB,Tampa Bay Buccaneers
NFC,West,ARI,Arizona Cardinals
NFC,West,LAR,Los Angeles Rams
NFC,West,SF,San Francisco 49ers
NFC,West,WAS,Seattle Seahawks
