week,date,time,home_team,away_team,venue,city
1,2025-09-07,1:00 PM EDT,New Orleans Saints,Arizona Cardinals,Caesars Superdome,New Orleans
2,2025-09-14,4:05 PM EDT,Arizona Cardinals,Carolina Panthers,State Farm Stadium,Glendale
3,2025-09-21,4:25 PM EDT,San Francisco 49ers,Arizona Cardinals,Levi's® Stadium,Santa Clara
4,2025-09-25,8:15 PM EDT,Arizona Cardinals,Seattle Seahawks,State Farm Stadium,Glendale
5,2025-10-05,4:05 PM EDT,Arizona Cardinals,Tennessee Titans,State Farm Stadium,Glendale
6,2025-10-12,1:00 PM EDT,Indianapolis Colts,Arizona Cardinals,Lucas Oil Stadium,Indianapolis
7,2025-10-19,4:25 PM EDT,Arizona Cardinals,Green Bay Packers,State Farm Stadium,Glendale
8,,BYE WEEK,,,,
9,2025-11-03,8:15 PM EST,Dallas Cowboys,Arizona Cardinals,AT&T Stadium,Arlington
10,2025-11-09,4:05 PM EST,Seattle Seahawks,Arizona Cardinals,Lumen Field,Seattle
11,2025-11-16,4:05 PM EST,Arizona Cardinals,San Francisco 49ers,State Farm Stadium,Glendale
12,2025-11-23,4:05 PM EST,Arizona Cardinals,Jacksonville Jaguars,State Farm Stadium,Glendale
13,2025-11-30,1:00 PM EST,Tampa Bay Buccaneers,Arizona Cardinals,Raymond James Stadium,Tampa
14,2025-12-07,4:25 PM EST,Arizona Cardinals,Los Angeles Rams,State Farm Stadium,Glendale
15,2025-12-14,1:00 PM EST,Houston Texans,Arizona Cardinals,NRG Stadium,Houston
16,2025-12-21,4:05 PM EST,Arizona Cardinals,Atlanta Falcons,State Farm Stadium,Glendale
17,,TBD,Cincinnati Bengals,,,
18,,TBD,Los Angeles Rams,,,
