week,date,time,home_team,away_team,venue,city
1,2025-09-07,8:20 PM EDT,Buffalo Bills,Baltimore Ravens,Highmark Stadium,Orchard Park
2,2025-09-14,1:00 PM EDT,Baltimore Ravens,Cleveland Browns,M&T Bank Stadium,Baltimore
3,2025-09-22,8:15 PM EDT,Baltimore Ravens,Detroit Lions,M&T Bank Stadium,Baltimore
4,2025-09-28,4:25 PM EDT,Kansas City Chiefs,Baltimore Ravens,GEHA Field at Arrowhead Stadium,Kansas City
5,2025-10-05,1:00 PM EDT,Baltimore Ravens,Houston Texans,M&T Bank Stadium,Baltimore
6,2025-10-12,1:00 PM EDT,Baltimore Ravens,Los Angeles Rams,M&T Bank Stadium,Baltimore
7,,BYE WEEK,,,,
8,2025-10-26,1:00 PM EDT,Baltimore Ravens,Chicago Bears,M&T Bank Stadium,Baltimore
9,2025-10-30,8:15 PM EDT,Miami Dolphins,Baltimore Ravens,Hard Rock Stadium,Opa Locka
10,2025-11-09,1:00 PM EST,Minnesota Vikings,Baltimore Ravens,U.S. Bank Stadium,Minneapolis
11,2025-11-16,4:25 PM EST,Cleveland Browns,Baltimore Ravens,Huntington Bank Field,Cleveland
12,2025-11-23,1:00 PM EST,Baltimore Ravens,New York Jets,M&T Bank Stadium,Baltimore
13,2025-11-27,8:20 PM EST,Baltimore Ravens,Cincinnati Bengals,M&T Bank Stadium,Baltimore
14,2025-12-07,1:00 PM EST,Baltimore Ravens,Pittsburgh Steelers,M&T Bank Stadium,Baltimore
15,2025-12-14,1:00 PM EST,Cincinnati Bengals,Baltimore Ravens,Paycor Stadium,Cincinnati
16,2025-12-21,1:00 PM EST,Baltimore Ravens,New England Patriots,M&T Bank Stadium,Baltimore
17,,TBD,Green Bay Packers,Baltimore Ravens,,
18,,TBD,Pittsburgh Steelers,Baltimore Ravens,,
