week,date,time,home_team,away_team,venue,city
1,2025-09-07,8:20 PM EDT,Buffalo Bills,Baltimore Ravens,Highmark Stadium,Orchard Park
2,2025-09-14,1:00 PM EDT,New York Jets,Buffalo Bills,MetLife Stadium,East Rutherford
3,2025-09-18,8:15 PM EDT,Buffalo Bills,Miami Dolphins,Highmark Stadium,Orchard Park
4,2025-09-28,1:00 PM EDT,Buffalo Bills,New Orleans Saints,Highmark Stadium,Orchard Park
5,2025-10-05,8:20 PM EDT,Buffalo Bills,New England Patriots,Highmark Stadium,Orchard Park
6,2025-10-13,7:15 PM EDT,Atlanta Falcons,Buffalo Bills,Mercedes-Benz Stadium,Atlanta
7,,BYE WEEK,,,,
8,2025-10-26,1:00 PM EDT,Carolina Panthers,Buffalo Bills,Bank of America Stadium,Charlotte
9,2025-11-02,4:25 PM EST,Buffalo Bills,Kansas City Chiefs,Highmark Stadium,Orchard Park
10,2025-11-09,1:00 PM EST,Miami Dolphins,Buffalo Bills,Hard Rock Stadium,Opa Locka
11,2025-11-16,1:00 PM EST,Buffalo Bills,Tampa Bay Buccaneers,Highmark Stadium,Orchard Park
12,2025-11-20,8:15 PM EST,Houston Texans,Buffalo Bills,NRG Stadium,Houston
13,2025-11-30,4:25 PM EST,Pittsburgh Steelers,Buffalo Bills,Acrisure Stadium,Pittsburgh
14,2025-12-07,4:25 PM EST,Buffalo Bills,Cincinnati Bengals,Highmark Stadium,Orchard Park
15,2025-12-14,1:00 PM EST,New England Patriots,Buffalo Bills,Gillette Stadium,Foxborough
16,2025-12-21,1:00 PM EST,Cleveland Browns,Buffalo Bills,Huntington Bank Field,Cleveland
17,2025-12-28,4:25 PM EST,Buffalo Bills,Philadelphia Eagles,Highmark Stadium,Orchard Park
18,,TBD,Buffalo Bills,New York Jets,,
