week,date,time,home_team,away_team,venue,city
1,2025-09-07,1:00 PM EDT,Jacksonville Jaguars,Carolina Panthers,EverBank Stadium,Jacksonville
2,2025-09-14,4:05 PM EDT,Arizona Cardinals,Carolina Panthers,State Farm Stadium,Glendale
3,2025-09-21,1:00 PM EDT,Carolina Panthers,Atlanta Falcons,Bank of America Stadium,Charlotte
4,2025-09-28,1:00 PM EDT,New England Patriots,Carolina Panthers,Gillette Stadium,Foxborough
5,2025-10-05,1:00 PM EDT,Carolina Panthers,Miami Dolphins,Bank of America Stadium,Charlotte
6,2025-10-12,1:00 PM EDT,Carolina Panthers,Dallas Cowboys,Bank of America Stadium,Charlotte
7,2025-10-19,1:00 PM EDT,New York Jets,Carolina Panthers,MetLife Stadium,East Rutherford
8,2025-10-26,1:00 PM EDT,Carolina Panthers,Buffalo Bills,Bank of America Stadium,Charlotte
9,2025-11-02,1:00 PM EST,Green Bay Packers,Carolina Panthers,Lambeau Field,Green Bay
10,2025-11-09,1:00 PM EST,Carolina Panthers,New Orleans Saints,Bank of America Stadium,Charlotte
11,2025-11-16,1:00 PM EST,Atlanta Falcons,Carolina Panthers,Mercedes-Benz Stadium,Atlanta
12,2025-11-24,8:15 PM EST,San Francisco 49ers,Carolina Panthers,Levi's® Stadium,Santa Clara
13,2025-11-30,1:00 PM EST,Carolina Panthers,Los Angeles Rams,Bank of America Stadium,Charlotte
14,,BYE WEEK,,,,
15,2025-12-14,4:25 PM EST,New Orleans Saints,Carolina Panthers,Caesars Superdome,New Orleans
16,2025-12-21,1:00 PM EST,Carolina Panthers,Tampa Bay Buccaneers,Bank of America Stadium,Charlotte
17,,TBD,Carolina Panthers,Seattle Seahawks,,
18,,TBD,Tampa Bay Buccaneers,Carolina Panthers,,
