week,date,time,home_team,away_team,venue,city
1,2025-09-07,1:00 PM EDT,Cleveland Browns,Cincinnati Bengals,Huntington Bank Field,Cleveland
2,2025-09-14,1:00 PM EDT,Baltimore Ravens,Cleveland Browns,M&T Bank Stadium,Baltimore
3,2025-09-21,1:00 PM EDT,Cleveland Browns,Green Bay Packers,Huntington Bank Field,Cleveland
4,2025-09-28,1:00 PM EDT,Detroit Lions,Cleveland Browns,Ford Field,Detroit
5,2025-10-05,9:30 AM EDT,Cleveland Browns,Minnesota Vikings,Tottenham Hotspur Stadium,London
6,2025-10-12,1:00 PM EDT,Pittsburgh Steelers,Cleveland Browns,Acrisure Stadium,Pittsburgh
7,2025-10-19,1:00 PM EDT,Cleveland Browns,Miami Dolphins,Huntington Bank Field,Cleveland
8,2025-10-26,1:00 PM EDT,New England Patriots,Cleveland Browns,Gillette Stadium,Foxborough
9,,,,,,
10,2025-11-09,1:00 PM EST,New York Jets,Cleveland Browns,MetLife Stadium,East Rutherford
11,2025-11-16,4:25 PM EST,Cleveland Browns,Baltimore Ravens,Huntington Bank Field,Cleveland
12,2025-11-23,4:05 PM EST,Las Vegas Raiders,Cleveland Browns,Allegiant Stadium,Paradise
13,2025-11-30,1:00 PM EST,Cleveland Browns,San Francisco 49ers,Huntington Bank Field,Cleveland
14,2025-12-07,1:00 PM EST,Cleveland Browns,Tennessee Titans,Huntington Bank Field,Cleveland
15,2025-12-14,1:00 PM EST,Chicago Bears,Cleveland Browns,Soldier Field,Chicago
16,2025-12-21,1:00 PM EST,Cleveland Browns,Buffalo Bills,Huntington Bank Field,Cleveland
17,2025-12-28,1:00 PM EST,Cleveland Browns,Pittsburgh Steelers,Huntington Bank Field,Cleveland
18,,TBD,Cincinnati Bengals,Cleveland Browns,,
