week,date,time,home_team,away_team,venue,city
1,2025-09-07,4:05 PM EDT,Denver Broncos,Tennessee Titans,Empower Field at Mile High,Denver
2,2025-09-14,4:05 PM EDT,Indianapolis Colts,Denver Broncos,Lucas Oil Stadium,Indianapolis
3,2025-09-21,4:05 PM EDT,Los Angeles Chargers,Denver Broncos,SoFi Stadium,Inglewood
4,2025-09-29,8:15 PM EDT,Denver Broncos,Cincinnati Bengals,Empower Field at Mile High,Denver
5,2025-10-05,1:00 PM EDT,Philadelphia Eagles,Denver Broncos,Lincoln Financial Field,Philadelphia
6,2025-10-12,9:30 AM EDT,New York Jets,Denver Broncos,Tottenham Hotspur Stadium,London
7,2025-10-19,4:05 PM EDT,Denver Broncos,New York Giants,Empower Field at Mile High,Denver
8,2025-10-26,4:25 PM EDT,Denver Broncos,Dallas Cowboys,Empower Field at Mile High,Denver
9,2025-11-02,1:00 PM EST,Houston Texans,Denver Broncos,NRG Stadium,Houston
10,2025-11-06,8:15 PM EST,Denver Broncos,Las Vegas Raiders,Empower Field at Mile High,Denver
11,2025-11-16,4:25 PM EST,Denver Broncos,Kansas City Chiefs,Empower Field at Mile High,Denver
12,,BYE WEEK,,,,
13,2025-11-30,8:20 PM EST,Washington Commanders,Denver Broncos,Northwest Stadium,Landover
14,2025-12-07,4:05 PM EST,Las Vegas Raiders,Denver Broncos,Allegiant Stadium,Paradise
15,2025-12-14,4:25 PM EST,Denver Broncos,Green Bay Packers,Empower Field at Mile High,Denver
16,2025-12-21,4:05 PM EST,Denver Broncos,Jacksonville Jaguars,Empower Field at Mile High,Denver
17,2025-12-25,8:15 PM EST,Kansas City Chiefs,Denver Broncos,GEHA Field at Arrowhead Stadium,Kansas City
18,,TBD,Denver Broncos,Los Angeles Chargers,,
