week,date,time,home_team,away_team,venue,city
1,2025-09-07,4:25 PM EDT,Green Bay Packers,Detroit Lions,Lambeau Field,Green Bay
2,2025-09-14,1:00 PM EDT,Detroit Lions,Chicago Bears,Ford Field,Detroit
3,2025-09-22,8:15 PM EDT,Baltimore Ravens,Detroit Lions,M&T Bank Stadium,Baltimore
4,2025-09-28,1:00 PM EDT,Detroit Lions,Cleveland Browns,Ford Field,Detroit
5,2025-10-05,4:25 PM EDT,Cincinnati Bengals,Detroit Lions,Paycor Stadium,Cincinnati
6,2025-10-12,8:20 PM EDT,Kansas City Chiefs,Detroit Lions,GEHA Field at Arrowhead Stadium,Kansas City
7,2025-10-20,7:00 PM EDT,Detroit Lions,Tampa Bay Buccaneers,Ford Field,Detroit
8,,BYE WEEK,,,,
9,2025-11-02,1:00 PM EST,Detroit Lions,Minnesota Vikings,Ford Field,Detroit
10,2025-11-09,4:25 PM EST,Washington Commanders,Detroit Lions,Northwest Stadium,Landover
11,2025-11-16,8:20 PM EST,Philadelphia Eagles,Detroit Lions,Lincoln Financial Field,Philadelphia
12,2025-11-23,1:00 PM EST,Detroit Lions,New York Giants,Ford Field,Detroit
13,2025-11-27,1:00 PM EST,Detroit Lions,Green Bay Packers,Ford Field,Detroit
14,2025-12-04,8:15 PM EST,Detroit Lions,Dallas Cowboys,Ford Field,Detroit
15,2025-12-14,4:25 PM EST,Los Angeles Rams,Detroit Lions,SoFi Stadium,Inglewood
16,2025-12-21,4:25 PM EST,Detroit Lions,Pittsburgh Steelers,Ford Field,Detroit
17,2025-12-25,4:30 PM EST,Minnesota Vikings,Detroit Lions,U.S. Bank Stadium,Minneapolis
18,,TBD,Chicago Bears,Detroit Lions,,
