week,date,time,home_team,away_team,venue,city
1,2025-09-07,4:25 PM EDT,Los Angeles Rams,Houston Texans,SoFi Stadium,Inglewood
2,2025-09-15,7:00 PM EDT,Houston Texans,Tampa Bay Buccaneers,NRG Stadium,Houston
3,2025-09-21,1:00 PM EDT,Jacksonville Jaguars,Houston Texans,EverBank Stadium,Jacksonville
4,2025-09-28,1:00 PM EDT,Houston Texans,Tennessee Titans,NRG Stadium,Houston
5,2025-10-05,1:00 PM EDT,Baltimore Ravens,Houston Texans,M&T Bank Stadium,Baltimore
6,,BYE WEEK,,,,
7,2025-10-20,10:00 PM EDT,Seattle Seahawks,Houston Texans,Lumen Field,Seattle
8,2025-10-26,1:00 PM EDT,Houston Texans,San Francisco 49ers,NRG Stadium,Houston
9,2025-11-02,1:00 PM EST,Houston Texans,Denver Broncos,NRG Stadium,Houston
10,2025-11-09,1:00 PM EST,Houston Texans,Jacksonville Jaguars,NRG Stadium,Houston
11,2025-11-16,1:00 PM EST,Tennessee Titans,Houston Texans,Nissan Stadium,Nashville
12,2025-11-20,8:15 PM EST,Houston Texans,Buffalo Bills,NRG Stadium,Houston
13,2025-11-30,1:00 PM EST,Indianapolis Colts,Houston Texans,Lucas Oil Stadium,Indianapolis
14,2025-12-07,8:20 PM EST,Kansas City Chiefs,Houston Texans,GEHA Field at Arrowhead Stadium,Kansas City
15,2025-12-14,1:00 PM EST,Houston Texans,Arizona Cardinals,NRG Stadium,Houston
16,2025-12-21,4:25 PM EST,Houston Texans,Las Vegas Raiders,NRG Stadium,Houston
17,,TBD,Los Angeles Chargers,Houston Texans,,
18,,TBD,Houston Texans,Indianapolis Colts,,
