week,date,time,home_team,away_team,venue,city
1,2025-09-07,1:00 PM EDT,Indianapolis Colts,Miami Dolphins,Lucas Oil Stadium,Indianapolis
2,2025-09-14,4:05 PM EDT,Indianapolis Colts,Denver Broncos,Lucas Oil Stadium,Indianapolis
3,2025-09-21,1:00 PM EDT,Tennessee Titans,Indianapolis Colts,Nissan Stadium,Nashville
4,2025-09-28,4:05 PM EDT,Los Angeles Rams,Indianapolis Colts,SoFi Stadium,Inglewood
5,2025-10-05,1:00 PM EDT,Indianapolis Colts,Las Vegas Raiders,Lucas Oil Stadium,Indianapolis
6,2025-10-12,1:00 PM EDT,Indianapolis Colts,Arizona Cardinals,Lucas Oil Stadium,Indianapolis
7,2025-10-19,4:05 PM EDT,Los Angeles Chargers,Indianapolis Colts,SoFi Stadium,Inglewood
8,2025-10-26,4:25 PM EDT,Indianapolis Colts,Tennessee Titans,Lucas Oil Stadium,Indianapolis
9,2025-11-02,1:00 PM EST,Pittsburgh Steelers,Indianapolis Colts,Acrisure Stadium,Pittsburgh
10,2025-11-09,9:30 AM EST,Indianapolis Colts,Atlanta Falcons,Olympic Stadium,Berlin
11,,BYE WEEK,,,,
12,2025-11-23,1:00 PM EST,Kansas City Chiefs,Indianapolis Colts,GEHA Field at Arrowhead Stadium,Kansas City
13,2025-11-30,1:00 PM EST,Indianapolis Colts,Houston Texans,Lucas Oil Stadium,Indianapolis
14,2025-12-07,1:00 PM EST,Jacksonville Jaguars,Indianapolis Colts,EverBank Stadium,Jacksonville
15,2025-12-14,4:25 PM EST,Seattle Seahawks,Indianapolis Colts,Lumen Field,Seattle
16,2025-12-22,8:15 PM EST,Indianapolis Colts,San Francisco 49ers,Lucas Oil Stadium,Indianapolis
17,2025-12-28,1:00 PM EST,Indianapolis Colts,Jacksonville Jaguars,Lucas Oil Stadium,Indianapolis
18,,TBD,Houston Texans,Indianapolis Colts,,
