week,date,time,home_team,away_team,venue,city
1,2025-09-07,1:00 PM EDT,Jacksonville Jaguars,Carolina Panthers,EverBank Stadium,Jacksonville
2,2025-09-14,1:00 PM EDT,Cincinnati Bengals,Jacksonville Jaguars,Paycor Stadium,Cincinnati
3,2025-09-21,1:00 PM EDT,Jacksonville Jaguars,Houston Texans,EverBank Stadium,Jacksonville
4,2025-09-28,4:05 PM EDT,San Francisco 49ers,Jacksonville Jaguars,Levi's® Stadium,Santa Clara
5,2025-10-06,8:15 PM EDT,Jacksonville Jaguars,Kansas City Chiefs,EverBank Stadium,Jacksonville
6,2025-10-12,1:00 PM EDT,Jacksonville Jaguars,Seattle Seahawks,EverBank Stadium,Jacksonville
7,2025-10-19,9:30 AM EDT,Jacksonville Jaguars,Los Angeles Rams,Wembley Stadium,London
8,,BYE WEEK,,,,
9,2025-11-02,4:05 PM EST,Las Vegas Raiders,Jacksonville Jaguars,Allegiant Stadium,Paradise
10,2025-11-09,1:00 PM EST,Houston Texans,Jacksonville Jaguars,NRG Stadium,Houston
11,2025-11-16,1:00 PM EST,Jacksonville Jaguars,Los Angeles Chargers,EverBank Stadium,Jacksonville
12,2025-11-23,4:05 PM EST,Arizona Cardinals,Jacksonville Jaguars,State Farm Stadium,Glendale
13,2025-11-30,1:00 PM EST,Tennessee Titans,Jacksonville Jaguars,Nissan Stadium,Nashville
14,2025-12-07,1:00 PM EST,Jacksonville Jaguars,Indianapolis Colts,EverBank Stadium,Jacksonville
15,2025-12-14,1:00 PM EST,Jacksonville Jaguars,New York Jets,EverBank Stadium,Jacksonville
16,2025-12-21,4:05 PM EST,Denver Broncos,Jacksonville Jaguars,Empower Field at Mile High,Denver
17,2025-12-28,1:00 PM EST,Indianapolis Colts,Jacksonville Jaguars,Lucas Oil Stadium,Indianapolis
18,,TBD,Jacksonville Jaguars,Tennessee Titans,,
