week,date,time,home_team,away_team,venue,city
1,2025-09-05,8:00 PM EDT,Los Angeles Chargers,Kansas City Chiefs,Arena Corinthians,Sao Paulo
2,2025-09-14,4:25 PM EDT,Kansas City Chiefs,Philadelphia Eagles,GEHA Field at Arrowhead Stadium,Kansas City
3,2025-09-21,8:20 PM EDT,New York Giants,Kansas City Chiefs,MetLife Stadium,East Rutherford
4,2025-09-28,4:25 PM EDT,Kansas City Chiefs,Baltimore Ravens,GEHA Field at Arrowhead Stadium,Kansas City
5,2025-10-06,8:15 PM EDT,Jacksonville Jaguars,Kansas City Chiefs,EverBank Stadium,Jacksonville
6,2025-10-12,8:20 PM EDT,Kansas City Chiefs,Detroit Lions,GEHA Field at Arrowhead Stadium,Kansas City
7,2025-10-19,1:00 PM EDT,Kansas City Chiefs,Las Vegas Raiders,GEHA Field at Arrowhead Stadium,Kansas City
8,2025-10-27,8:15 PM EDT,Kansas City Chiefs,Washington Commanders,GEHA Field at Arrowhead Stadium,Kansas City
9,2025-11-02,4:25 PM EST,Buffalo Bills,Kansas City Chiefs,Highmark Stadium,Orchard Park
10,,BYE WEEK,,,,
11,2025-11-16,4:25 PM EST,Denver Broncos,Kansas City Chiefs,Empower Field at Mile High,Denver
12,2025-11-23,1:00 PM EST,Kansas City Chiefs,Indianapolis Colts,GEHA Field at Arrowhead Stadium,Kansas City
13,2025-11-27,4:30 PM EST,Dallas Cowboys,Kansas City Chiefs,AT&T Stadium,Arlington
14,2025-12-07,8:20 PM EST,Kansas City Chiefs,Houston Texans,GEHA Field at Arrowhead Stadium,Kansas City
15,2025-12-14,1:00 PM EST,Kansas City Chiefs,Los Angeles Chargers,GEHA Field at Arrowhead Stadium,Kansas City
16,2025-12-21,1:00 PM EST,Tennessee Titans,Kansas City Chiefs,Nissan Stadium,Nashville
17,2025-12-25,8:15 PM EST,Kansas City Chiefs,Denver Broncos,GEHA Field at Arrowhead Stadium,Kansas City
18,,TBD,Las Vegas Raiders,Kansas City Chiefs,,
