week,date,time,home_team,away_team,venue,city
1,2025-09-05,8:00 PM EDT,Los Angeles Chargers,Kansas City Chiefs,Arena Corinthians,Sao Paulo
2,2025-09-15,10:00 PM EDT,Las Vegas Raiders,Los Angeles Chargers,Allegiant Stadium,Paradise
3,2025-09-21,4:05 PM EDT,Los Angeles Chargers,Denver Broncos,SoFi Stadium,Inglewood
4,2025-09-28,1:00 PM EDT,New York Giants,Los Angeles Chargers,MetLife Stadium,East Rutherford
5,2025-10-05,4:25 PM EDT,Los Angeles Chargers,Washington Commanders,SoFi Stadium,Inglewood
6,2025-10-12,1:00 PM EDT,Miami Dolphins,Los Angeles Chargers,Hard Rock Stadium,Opa Locka
7,2025-10-19,4:05 PM EDT,Los Angeles Chargers,Indianapolis Colts,SoFi Stadium,Inglewood
8,2025-10-23,8:15 PM EDT,Los Angeles Chargers,Minnesota Vikings,SoFi Stadium,Inglewood
9,2025-11-02,1:00 PM EST,Tennessee Titans,Los Angeles Chargers,Nissan Stadium,Nashville
10,2025-11-09,8:20 PM EST,Los Angeles Chargers,Pittsburgh Steelers,SoFi Stadium,Inglewood
11,2025-11-16,1:00 PM EST,Jacksonville Jaguars,Los Angeles Chargers,EverBank Stadium,Jacksonville
12,,BYE WEEK,,,,
13,2025-11-30,4:25 PM EST,Los Angeles Chargers,Las Vegas Raiders,SoFi Stadium,Inglewood
14,2025-12-08,8:15 PM EST,Los Angeles Chargers,Philadelphia Eagles,SoFi Stadium,Inglewood
15,2025-12-14,1:00 PM EST,Kansas City Chiefs,Los Angeles Chargers,GEHA Field at Arrowhead Stadium,Kansas City
16,2025-12-21,1:00 PM EST,Dallas Cowboys,Los Angeles Chargers,AT&T Stadium,Arlington
17,,TBD,Los Angeles Chargers,Houston Texans,,
18,,TBD,Denver Broncos,Los Angeles Chargers,,
