week,date,time,home_team,away_team,venue,city
1,2025-09-07,4:25 PM EDT,Los Angeles Rams,Houston Texans,SoFi Stadium,Inglewood
2,2025-09-14,1:00 PM EDT,Tennessee Titans,Los Angeles Rams,Nissan Stadium,Nashville
3,2025-09-21,1:00 PM EDT,Philadelphia Eagles,Los Angeles Rams,Lincoln Financial Field,Philadelphia
4,2025-09-28,4:05 PM EDT,Los Angeles Rams,Indianapolis Colts,SoFi Stadium,Inglewood
5,2025-10-02,8:15 PM EDT,Los Angeles Rams,San Francisco 49ers,SoFi Stadium,Inglewood
6,2025-10-12,1:00 PM EDT,Baltimore Ravens,Los Angeles Rams,M&T Bank Stadium,Baltimore
7,2025-10-19,9:30 AM EDT,Jacksonville Jaguars,Los Angeles Rams,Wembley Stadium,London
8,,BYE WEEK,,,,
9,2025-11-02,4:05 PM EST,Los Angeles Rams,New Orleans Saints,SoFi Stadium,Inglewood
10,2025-11-09,4:25 PM EST,San Francisco 49ers,Los Angeles Rams,Levi's® Stadium,Santa Clara
11,2025-11-16,4:05 PM EST,Los Angeles Rams,Seattle Seahawks,SoFi Stadium,Inglewood
12,2025-11-23,8:20 PM EST,Los Angeles Rams,Tampa Bay Buccaneers,SoFi Stadium,Inglewood
13,2025-11-30,1:00 PM EST,Carolina Panthers,Los Angeles Rams,Bank of America Stadium,Charlotte
14,2025-12-07,4:25 PM EST,Arizona Cardinals,Los Angeles Rams,State Farm Stadium,Glendale
15,2025-12-14,4:25 PM EST,Los Angeles Rams,Detroit Lions,SoFi Stadium,Inglewood
16,2025-12-18,8:15 PM EST,Seattle Seahawks,Los Angeles Rams,Lumen Field,Seattle
17,2025-12-29,8:15 PM EST,Atlanta Falcons,Los Angeles Rams,Mercedes-Benz Stadium,Atlanta
18,,TBD,Los Angeles Rams,Arizona Cardinals,,
