week,date,time,home_team,away_team,venue,city
1,2025-09-07,1:00 PM EDT,New England Patriots,Las Vegas Raiders,Gillette Stadium,Foxborough
2,2025-09-15,10:00 PM EDT,Las Vegas Raiders,Los Angeles Chargers,Allegiant Stadium,Paradise
3,2025-09-21,1:00 PM EDT,Washington Commanders,Las Vegas Raiders,Northwest Stadium,Landover
4,2025-09-28,4:25 PM EDT,Las Vegas Raiders,Chicago Bears,Allegiant Stadium,Paradise
5,2025-10-05,1:00 PM EDT,Indianapolis Colts,Las Vegas Raiders,Lucas Oil Stadium,Indianapolis
6,2025-10-12,4:05 PM EDT,Las Vegas Raiders,Tennessee Titans,Allegiant Stadium,Paradise
7,2025-10-19,1:00 PM EDT,Kansas City Chiefs,Las Vegas Raiders,GEHA Field at Arrowhead Stadium,Kansas City
8,,BYE WEEK,,,,
9,2025-11-02,4:05 PM EST,Las Vegas Raiders,Jacksonville Jaguars,Allegiant Stadium,Paradise
10,2025-11-06,8:15 PM EST,Denver Broncos,Las Vegas Raiders,Empower Field at Mile High,Denver
11,2025-11-17,8:15 PM EST,Las Vegas Raiders,Dallas Cowboys,Allegiant Stadium,Paradise
12,2025-11-23,4:05 PM EST,Las Vegas Raiders,Cleveland Browns,Allegiant Stadium,Paradise
13,2025-11-30,4:25 PM EST,Los Angeles Chargers,Las Vegas Raiders,SoFi Stadium,Inglewood
14,2025-12-07,4:05 PM EST,Las Vegas Raiders,Denver Broncos,Allegiant Stadium,Paradise
15,2025-12-14,1:00 PM EST,Philadelphia Eagles,Las Vegas Raiders,Lincoln Financial Field,Philadelphia
16,2025-12-21,4:25 PM EST,Houston Texans,Las Vegas Raiders,NRG Stadium,Houston
17,,TBD,Las Vegas Raiders,New York Giants,,
18,,TBD,Las Vegas Raiders,Kansas City Chiefs,,
