week,date,time,home_team,away_team,venue,city
1,2025-09-07,1:00 PM EDT,Indianapolis Colts,Miami Dolphins,Lucas Oil Stadium,Indianapolis
2,2025-09-14,1:00 PM EDT,Miami Dolphins,New England Patriots,Hard Rock Stadium,Opa Locka
3,2025-09-18,8:15 PM EDT,Buffalo Bills,Miami Dolphins,Highmark Stadium,Orchard Park
4,2025-09-29,7:15 PM EDT,Miami Dolphins,New York Jets,Hard Rock Stadium,Opa Locka
5,2025-10-05,1:00 PM EDT,Carolina Panthers,Miami Dolphins,Bank of America Stadium,Charlotte
6,2025-10-12,1:00 PM EDT,Miami Dolphins,Los Angeles Chargers,Hard Rock Stadium,Opa Locka
7,2025-10-19,1:00 PM EDT,Cleveland Browns,Miami Dolphins,Huntington Bank Field,Cleveland
8,2025-10-26,1:00 PM EDT,Atlanta Falcons,Miami Dolphins,Mercedes-Benz Stadium,Atlanta
9,2025-10-30,8:15 PM EDT,Miami Dolphins,Baltimore Ravens,Hard Rock Stadium,Opa Locka
10,2025-11-09,1:00 PM EST,Miami Dolphins,Buffalo Bills,Hard Rock Stadium,Opa Locka
11,2025-11-16,9:30 AM EST,Miami Dolphins,Washington Commanders,Santiago Bernabeu Stadium,Madrid
12,,BYE WEEK,,,,
13,2025-11-30,1:00 PM EST,Miami Dolphins,New Orleans Saints,Hard Rock Stadium,Opa Locka
14,2025-12-07,1:00 PM EST,New York Jets,Miami Dolphins,MetLife Stadium,East Rutherford
15,2025-12-15,8:15 PM EST,Pittsburgh Steelers,Miami Dolphins,Acrisure Stadium,Pittsburgh
16,2025-12-21,8:20 PM EST,Miami Dolphins,Cincinnati Bengals,Hard Rock Stadium,Opa Locka
17,2025-12-28,1:00 PM EST,Miami Dolphins,Tampa Bay Buccaneers,Hard Rock Stadium,Opa Locka
18,,TBD,New England Patriots,Miami Dolphins,,
