week,date,time,home_team,away_team,venue,city
1,2025-09-07,1:00 PM EDT,New England Patriots,Las Vegas Raiders,Gillette Stadium,Foxborough
2,2025-09-14,1:00 PM EDT,Miami Dolphins,New England Patriots,Hard Rock Stadium,Opa Locka
3,2025-09-21,1:00 PM EDT,New England Patriots,Pittsburgh Steelers,Gillette Stadium,Foxborough
4,2025-09-28,1:00 PM EDT,New England Patriots,Carolina Panthers,Gillette Stadium,Foxborough
5,2025-10-05,8:20 PM EDT,Buffalo Bills,New England Patriots,Highmark Stadium,Orchard Park
6,2025-10-12,4:25 PM EDT,New Orleans Saints,New England Patriots,Caesars Superdome,New Orleans
7,2025-10-19,1:00 PM EDT,Tennessee Titans,New England Patriots,Nissan Stadium,Nashville
8,2025-10-26,1:00 PM EDT,New England Patriots,Cleveland Browns,Gillette Stadium,Foxborough
9,2025-11-02,1:00 PM EST,New England Patriots,Atlanta Falcons,Gillette Stadium,Foxborough
10,2025-11-09,1:00 PM EST,Tampa Bay Buccaneers,New England Patriots,Raymond James Stadium,Tampa
11,2025-11-13,8:15 PM EST,New England Patriots,New York Jets,Gillette Stadium,Foxborough
12,2025-11-23,1:00 PM EST,Cincinnati Bengals,New England Patriots,Paycor Stadium,Cincinnati
13,2025-12-01,8:15 PM EST,New England Patriots,New York Giants,Gillette Stadium,Foxborough
14,,,,,,
15,2025-12-14,1:00 PM EST,New England Patriots,Buffalo Bills,Gillette Stadium,Foxborough
16,2025-12-21,1:00 PM EST,Baltimore Ravens,New England Patriots,M&T Bank Stadium,Baltimore
17,2025-12-28,1:00 PM EST,New York Jets,New England Patriots,MetLife Stadium,East Rutherford
18,,TBD,New England Patriots,Miami Dolphins,,
