week,date,time,home_team,away_team,venue,city
1,2025-09-04,8:20 PM EDT,Philadelphia Eagles,Dallas Cowboys,Lincoln Financial Field,Philadelphia
2,2025-09-14,4:25 PM EDT,Kansas City Chiefs,Philadelphia Eagles,GEHA Field at Arrowhead Stadium,Kansas City
3,2025-09-21,1:00 PM EDT,Philadelphia Eagles,Los Angeles Rams,Lincoln Financial Field,Philadelphia
4,2025-09-28,1:00 PM EDT,Tampa Bay Buccaneers,Philadelphia Eagles,Raymond James Stadium,Tampa
5,2025-10-05,1:00 PM EDT,Philadelphia Eagles,Denver Broncos,Lincoln Financial Field,Philadelphia
6,2025-10-09,8:15 PM EDT,New York Giants,Philadelphia Eagles,MetLife Stadium,East Rutherford
7,2025-10-19,1:00 PM EDT,Minnesota Vikings,Philadelphia Eagles,U.S. Bank Stadium,Minneapolis
8,2025-10-26,1:00 PM EDT,Philadelphia Eagles,New York Giants,Lincoln Financial Field,Philadelphia
9,,BYE WEEK,,,,
10,2025-11-10,8:15 PM EST,Green Bay Packers,Philadelphia Eagles,Lambeau Field,Green Bay
11,2025-11-16,8:20 PM EST,Philadelphia Eagles,Detroit Lions,Lincoln Financial Field,Philadelphia
12,2025-11-23,4:25 PM EST,Dallas Cowboys,Philadelphia Eagles,AT&T Stadium,Arlington
13,2025-11-28,3:00 PM EST,Philadelphia Eagles,Chicago Bears,Lincoln Financial Field,Philadelphia
14,2025-12-08,8:15 PM EST,Los Angeles Chargers,Philadelphia Eagles,SoFi Stadium,Inglewood
15,2025-12-14,1:00 PM EST,Philadelphia Eagles,Las Vegas Raiders,Lincoln Financial Field,Philadelphia
16,,TBD,Washington Commanders,Philadelphia Eagles,,
17,2025-12-28,4:25 PM EST,Buffalo Bills,Philadelphia Eagles,Highmark Stadium,Orchard Park
18,,TBD,Philadelphia Eagles,Washington Commanders,,
