week,date,time,home_team,away_team,venue,city
1,2025-09-07,1:00 PM EDT,New York Jets,Pittsburgh Steelers,MetLife Stadium,East Rutherford
2,2025-09-14,1:00 PM EDT,Pittsburgh Steelers,Seattle Seahawks,Acrisure Stadium,Pittsburgh
3,2025-09-21,1:00 PM EDT,New England Patriots,Pittsburgh Steelers,Gillette Stadium,Foxborough
4,2025-09-28,9:30 AM EDT,Pittsburgh Steelers,Minnesota Vikings,Croke Park,Dublin
5,,BYE WEEK,,,,
6,2025-10-12,1:00 PM EDT,Pittsburgh Steelers,Cleveland Browns,Acrisure Stadium,Pittsburgh
7,2025-10-16,8:15 PM EDT,Cincinnati Bengals,Pittsburgh Steelers,Paycor Stadium,Cincinnati
8,2025-10-26,8:20 PM EDT,Pittsburgh Steelers,Green Bay Packers,Acrisure Stadium,Pittsburgh
9,2025-11-02,1:00 PM EST,Pittsburgh Steelers,Indianapolis Colts,Acrisure Stadium,Pittsburgh
10,2025-11-09,8:20 PM EST,Los Angeles Chargers,Pittsburgh Steelers,SoFi Stadium,Inglewood
11,2025-11-16,1:00 PM EST,Pittsburgh Steelers,Cincinnati Bengals,Acrisure Stadium,Pittsburgh
12,2025-11-23,1:00 PM EST,Chicago Bears,Pittsburgh Steelers,Soldier Field,Chicago
13,2025-11-30,4:25 PM EST,Pittsburgh Steelers,Buffalo Bills,Acrisure Stadium,Pittsburgh
14,2025-12-07,1:00 PM EST,Baltimore Ravens,Pittsburgh Steelers,M&T Bank Stadium,Baltimore
15,2025-12-15,8:15 PM EST,Pittsburgh Steelers,Miami Dolphins,Acrisure Stadium,Pittsburgh
16,2025-12-21,4:25 PM EST,Detroit Lions,Pittsburgh Steelers,Ford Field,Detroit
17,2025-12-28,1:00 PM EST,Cleveland Browns,Pittsburgh Steelers,Huntington Bank Field,Cleveland
18,,TBD,Pittsburgh Steelers,Baltimore Ravens,,
