week,date,time,home_team,away_team,venue,city
1,2025-09-07,4:05 PM EDT,Seattle Seahawks,San Francisco 49ers,Lumen Field,Seattle
2,2025-09-14,1:00 PM EDT,New Orleans Saints,San Francisco 49ers,Caesars Superdome,New Orleans
3,2025-09-21,4:25 PM EDT,San Francisco 49ers,Arizona Cardinals,Levi's® Stadium,Santa Clara
4,2025-09-28,4:05 PM EDT,San Francisco 49ers,Jacksonville Jaguars,Levi's® Stadium,Santa Clara
5,2025-10-02,8:15 PM EDT,Los Angeles Rams,San Francisco 49ers,SoFi Stadium,Inglewood
6,2025-10-12,1:00 PM EDT,Tampa Bay Buccaneers,San Francisco 49ers,Raymond James Stadium,Tampa
7,2025-10-19,8:20 PM EDT,San Francisco 49ers,Atlanta Falcons,Levi's® Stadium,Santa Clara
8,2025-10-26,1:00 PM EDT,Houston Texans,San Francisco 49ers,NRG Stadium,Houston
9,2025-11-02,1:00 PM EST,New York Giants,San Francisco 49ers,MetLife Stadium,East Rutherford
10,2025-11-09,4:25 PM EST,San Francisco 49ers,Los Angeles Rams,Levi's® Stadium,Santa Clara
11,2025-11-16,4:05 PM EST,Arizona Cardinals,San Francisco 49ers,State Farm Stadium,Glendale
12,2025-11-24,8:15 PM EST,San Francisco 49ers,Carolina Panthers,Levi's® Stadium,Santa Clara
13,2025-11-30,1:00 PM EST,Cleveland Browns,San Francisco 49ers,Huntington Bank Field,Cleveland
14,,BYE WEEK,,,,
15,2025-12-14,4:25 PM EST,San Francisco 49ers,Tennessee Titans,Levi's® Stadium,Santa Clara
16,2025-12-22,8:15 PM EST,Indianapolis Colts,San Francisco 49ers,Lucas Oil Stadium,Indianapolis
17,2025-12-28,8:20 PM EST,San Francisco 49ers,Chicago Bears,Levi's® Stadium,Santa Clara
18,,TBD,San Francisco 49ers,Seattle Seahawks,,
