week,date,time,home_team,away_team,venue,city
1,2025-09-07,4:05 PM EDT,Seattle Seahawks,San Francisco 49ers,Lumen Field,Seattle
2,2025-09-14,1:00 PM EDT,Pittsburgh Steelers,Seattle Seahawks,Acrisure Stadium,Pittsburgh
3,2025-09-21,4:05 PM EDT,Seattle Seahawks,New Orleans Saints,Lumen Field,Seattle
4,2025-09-25,8:15 PM EDT,Arizona Cardinals,Seattle Seahawks,State Farm Stadium,Glendale
5,2025-10-05,4:05 PM EDT,Seattle Seahawks,Tampa Bay Buccaneers,Lumen Field,Seattle
6,2025-10-12,1:00 PM EDT,Jacksonville Jaguars,Seattle Seahawks,EverBank Stadium,Jacksonville
7,2025-10-20,10:00 PM EDT,Seattle Seahawks,Houston Texans,Lumen Field,Seattle
8,,BYE WEEK,,,,
9,2025-11-02,8:20 PM EST,Washington Commanders,Seattle Seahawks,Northwest Stadium,Landover
10,2025-11-09,4:05 PM EST,Seattle Seahawks,Arizona Cardinals,Lumen Field,Seattle
11,2025-11-16,4:05 PM EST,Los Angeles Rams,Seattle Seahawks,SoFi Stadium,Inglewood
12,2025-11-23,1:00 PM EST,Tennessee Titans,Seattle Seahawks,Nissan Stadium,Nashville
13,2025-11-30,4:05 PM EST,Seattle Seahawks,Minnesota Vikings,Lumen Field,Seattle
14,2025-12-07,1:00 PM EST,Atlanta Falcons,Seattle Seahawks,Mercedes-Benz Stadium,Atlanta
15,2025-12-14,4:25 PM EST,Seattle Seahawks,Indianapolis Colts,Lumen Field,Seattle
16,2025-12-18,8:15 PM EST,Seattle Seahawks,Los Angeles Rams,Lumen Field,Seattle
17,,TBD,Carolina Panthers,Seattle Seahawks,,
18,,TBD,San Francisco 49ers,Seattle Seahawks,,
