week,date,time,home_team,away_team,venue,city
1,2025-09-07,1:00 PM EDT,Atlanta Falcons,Tampa Bay Buccaneers,Mercedes-Benz Stadium,Atlanta
2,2025-09-15,7:00 PM EDT,Houston Texans,Tampa Bay Buccaneers,NRG Stadium,Houston
3,2025-09-21,1:00 PM EDT,Tampa Bay Buccaneers,New York Jets,Raymond James Stadium,Tampa
4,2025-09-28,1:00 PM EDT,Tampa Bay Buccaneers,Philadelphia Eagles,Raymond James Stadium,Tampa
5,2025-10-05,4:05 PM EDT,Seattle Seahawks,Tampa Bay Buccaneers,Lumen Field,Seattle
6,2025-10-12,1:00 PM EDT,Tampa Bay Buccaneers,San Francisco 49ers,Raymond James Stadium,Tampa
7,2025-10-20,7:00 PM EDT,Detroit Lions,Tampa Bay Buccaneers,Ford Field,Detroit
8,2025-10-26,4:05 PM EDT,New Orleans Saints,Tampa Bay Buccaneers,Caesars Superdome,New Orleans
9,,BYE WEEK,,,,
10,2025-11-09,1:00 PM EST,Tampa Bay Buccaneers,New England Patriots,Raymond James Stadium,Tampa
11,2025-11-16,1:00 PM EST,Buffalo Bills,Tampa Bay Buccaneers,Highmark Stadium,Orchard Park
12,2025-11-23,8:20 PM EST,Los Angeles Rams,Tampa Bay Buccaneers,SoFi Stadium,Inglewood
13,2025-11-30,1:00 PM EST,Tampa Bay Buccaneers,Arizona Cardinals,Raymond James Stadium,Tampa
14,2025-12-07,1:00 PM EST,Tampa Bay Buccaneers,New Orleans Saints,Raymond James Stadium,Tampa
15,2025-12-11,8:15 PM EST,Tampa Bay Buccaneers,Atlanta Falcons,Raymond James Stadium,Tampa
16,2025-12-21,1:00 PM EST,Carolina Panthers,Tampa Bay Buccaneers,Bank of America Stadium,Charlotte
17,2025-12-28,1:00 PM EST,Miami Dolphins,Tampa Bay Buccaneers,Hard Rock Stadium,Opa Locka
18,,TBD,Tampa Bay Buccaneers,Carolina Panthers,,
