week,date,time,home_team,away_team,venue,city
1,2025-09-07,4:05 PM EDT,Denver Broncos,Tennessee Titans,Empower Field at Mile High,Denver
2,2025-09-14,1:00 PM EDT,Tennessee Titans,Los Angeles Rams,Nissan Stadium,Nashville
3,2025-09-21,1:00 PM EDT,Tennessee Titans,Indianapolis Colts,Nissan Stadium,Nashville
4,2025-09-28,1:00 PM EDT,Houston Texans,Tennessee Titans,NRG Stadium,Houston
5,2025-10-05,4:05 PM EDT,Arizona Cardinals,Tennessee Titans,State Farm Stadium,Glendale
6,2025-10-12,4:05 PM EDT,Las Vegas Raiders,Tennessee Titans,Allegiant Stadium,Paradise
7,2025-10-19,1:00 PM EDT,Tennessee Titans,New England Patriots,Nissan Stadium,Nashville
8,2025-10-26,4:25 PM EDT,Indianapolis Colts,Tennessee Titans,Lucas Oil Stadium,Indianapolis
9,2025-11-02,1:00 PM EST,Tennessee Titans,Los Angeles Chargers,Nissan Stadium,Nashville
10,,BYE WEEK,,,,
11,2025-11-16,1:00 PM EST,Tennessee Titans,Houston Texans,Nissan Stadium,Nashville
12,2025-11-23,1:00 PM EST,Tennessee Titans,Seattle Seahawks,Nissan Stadium,Nashville
13,2025-11-30,1:00 PM EST,Tennessee Titans,Jacksonville Jaguars,Nissan Stadium,Nashville
14,2025-12-07,1:00 PM EST,Cleveland Browns,Tennessee Titans,Huntington Bank Field,Cleveland
15,2025-12-14,4:25 PM EST,San Francisco 49ers,Tennessee Titans,Levi's® Stadium,Santa Clara
16,2025-12-21,1:00 PM EST,Tennessee Titans,Kansas City Chiefs,Nissan Stadium,Nashville
17,2025-12-28,1:00 PM EST,Tennessee Titans,New Orleans Saints,Nissan Stadium,Nashville
18,,TBD,Jacksonville Jaguars,Tennessee Titans,,
