week,date,time,home_team,away_team,venue,city
1,2025-09-07,1:00 PM EDT,Washington Commanders,New York Giants,Northwest Stadium,Landover
2,2025-09-11,8:15 PM EDT,Green Bay Packers,Washington Commanders,Lambeau Field,Green Bay
3,2025-09-21,1:00 PM EDT,Washington Commanders,Las Vegas Raiders,Northwest Stadium,Landover
4,2025-09-28,1:00 PM EDT,Atlanta Falcons,Washington Commanders,Mercedes-Benz Stadium,Atlanta
5,2025-10-05,4:25 PM EDT,Los Angeles Chargers,Washington Commanders,SoFi Stadium,Inglewood
6,2025-10-13,8:15 PM EDT,Washington Commanders,Chicago Bears,Northwest Stadium,Landover
7,2025-10-19,4:25 PM EDT,Dallas Cowboys,Washington Commanders,AT&T Stadium,Arlington
8,2025-10-27,8:15 PM EDT,Kansas City Chiefs,Washington Commanders,GEHA Field at Arrowhead Stadium,Kansas City
9,2025-11-02,8:20 PM EST,Washington Commanders,Seattle Seahawks,Northwest Stadium,Landover
10,2025-11-09,4:25 PM EST,Washington Commanders,Detroit Lions,Northwest Stadium,Landover
11,2025-11-16,9:30 AM EST,Miami Dolphins,Washington Commanders,Santiago Bernabeu Stadium,Madrid
12,,BYE WEEK,,,,
13,2025-11-30,8:20 PM EST,Washington Commanders,Denver Broncos,Northwest Stadium,Landover
14,2025-12-07,1:00 PM EST,Minnesota Vikings,Washington Commanders,U.S. Bank Stadium,Minneapolis
15,2025-12-14,1:00 PM EST,New York Giants,Washington Commanders,MetLife Stadium,East Rutherford
16,,TBD,Washington Commanders,Philadelphia Eagles,,
17,2025-12-25,1:00 PM EST,Washington Commanders,Dallas Cowboys,Northwest Stadium,Landover
18,,TBD,Philadelphia Eagles,Washington Commanders,,
